	word	occurences
330	close	290
331	exchange	289
332	move	289
333	help	288
334	real	287
335	among	287
336	value	286
337	court	285
338	system	283
339	International	283
340	oil	282
341	ended	282
342	agreed	282
343	late	281
344	him	281
345	insurance	280
346	economy	280
347	1990	279
348	One	278
349	futures	277
350	agency	276
351	100	276
352	agreement	275
353	First	272
354	Board	271
355	period	270
356	operating	270
357	want	269
358	San	269
359	firms	267
360	Federal	267
361	computer	266
362	traders	266
363	capital	265
364	world	265
365	1\/2	265
366	little	264
367	until	262
368	cost	262
369	likely	262
370	called	261
371	office	261
372	1987	261
373	offering	260
374	results	260
375	Street	259
376	former	259
377	problems	259
378	production	257
379	Wall	256
380	six	256
381	long	255
382	increased	255
383	four	254
384	maker	254
385	compared	254
386	management	253
387	country	253
388	see	253
389	policy	252
390	Securities	252
391	whether	251
392	continue	251
393	second	251
394	analyst	251
395	put	250
396	West	249
397	large	249
398	half	249
399	dollar	248
400	bond	248
401	President	248
402	total	248
403	loans	247
404	set	247
405	buying	247
406	point	246
407	Group	246
408	go	246
409	cut	246
410	notes	246
411	Soviet	246
412	without	245
413	general	245
414	around	245
415	losses	244
416	political	244
417	Department	244
418	third-quarter	243
419	corporate	243
420	recently	242
421	fund	241
422	points	239
423	UAL	238
424	Nov.	238
425	home	238
426	largest	237
427	wo	236
428	must	236
429	today	236
430	right	235
431	though	235
432	John	234
433	selling	234
434	announced	233
435	further	232
436	however	231
437	result	229
438	problem	229
439	businesses	228
440	come	228
441	plant	227
442	change	227
443	declined	226
444	credit	226
445	weeks	226
446	held	226
447	making	225
448	When	224
449	strong	224
450	become	224
451	12	223
452	support	223
453	fiscal	223
454	3\/4	222
455	London	222
456	give	222
457	takeover	222
458	record	221
459	expects	221
460	orders	221
461	services	221
462	Big	220
463	research	218
464	certain	218
465	official	218
466	11	218
467	here	217
468	junk	217
469	demand	217
470	earthquake	217
471	Jones	216
472	my	216
473	news	215
474	August	215
475	old	213
476	need	213
477	senior	213
478	3	213
479	25	213
480	priced	213
481	On	212
482	control	212
483	employees	211
484	know	211
485	took	211
486	power	211
487	Dow	210
488	gain	210
489	Inc	210
490	Francisco	209
491	40	208
492	comment	207
493	nearly	207
494	13	206
495	example	205
496	members	205
497	possible	205
498	Ms.	205
499	level	205
500	annual	205
501	Chicago	204
502	5	204
503	Texas	204
504	Monday	204
505	drop	203
506	meeting	203
507	Ford	203
508	proposed	202
509	Senate	200
510	purchase	200
511	}	199
512	show	199
513	return	199
514	Tuesday	199
515	While	198
516	General	198
517	paid	198
518	decline	198
519	addition	197
520	October	197
521	future	197
522	workers	197
523	{	196
524	changes	195
525	deal	195
526	composite	195
527	proposal	195
528	often	195
529	rise	195
530	product	195
531	estimated	195
532	Robert	194
533	South	194
534	city	193
535	latest	193
536	later	192
537	expect	192
538	nation	192
539	almost	191
540	executives	191
541	volume	191
542	filed	191
543	line	190
544	amount	190
545	paper	190
546	Washington	190
547	life	190
548	building	189
549	top	189
550	administration	189
551	better	189
552	named	188
553	decision	188
554	position	188
555	charge	188
556	offered	187
557	makes	187
558	outstanding	187
559	America	186
560	nine	186
561	spending	186
562	include	186
563	Europe	186
564	others	185
565	national	185
566	...	184
567	customers	184
568	enough	183
569	area	183
570	transaction	183
571	acquisition	183
572	Ltd.	183
573	order	182
574	times	182
575	currently	182
576	came	182
577	began	181
578	found	181
579	received	181
580	us	180
581	500	180
582	trying	180
583	able	179
584	James	178
585	estate	177
586	Warner	176
587	again	176
588	European	176
589	Union	176
590	4	176
591	service	175
592	East	174
593	yet	173
594	told	173
595	commercial	173
596	division	173
597	your	172
598	previous	172
599	lot	171
600	investor	171
601	provide	171
602	holding	171
603	dropped	171
604	9	171
605	ca	170
606	important	170
607	every	170
608	So	170
609	've	170
610	claims	169
611	programs	169
612	Capital	169
613	private	168
614	rights	168
615	China	167
616	never	166
617	31	166
618	information	166
619	Association	166
620	whose	166
621	inflation	165
622	Corp	165
623	buy-out	165
624	fall	165
625	shareholders	165
626	best	165
627	suit	165
628	got	165
629	local	165
630	Tokyo	164
631	action	164
632	dollars	164
633	additional	164
634	managers	164
635	charges	164
636	gains	163
637	units	163
638	Co	163
639	away	162
640	within	162
641	manager	162
642	things	162
643	low	162
644	keep	162
645	once	162
646	United	161
647	raise	161
648	Mrs.	161
649	July	161
650	computers	161
651	car	160
652	financing	160
653	June	160
654	TV	160
655	Sept.	159
656	via	159
657	marketing	158
658	construction	158
659	development	158
660	terms	158
661	contracts	157
662	believe	157
663	consumer	157
664	Los	156
665	below	156
666	potential	156
667	run	156
668	lost	156
669	1\/4	156
670	IBM	155
671	March	155
672	restructuring	155
673	force	155
674	auto	154
675	full	154
676	taken	154
677	gas	154
678	Jaguar	154
679	What	154
680	following	153
681	Fed	153
682	continued	153
683	Western	153
684	Now	153
685	getting	152
686	Boston	152
687	fact	151
688	6	151
689	Last	151
690	You	151
691	above	150
692	With	150
693	To	150
694	equipment	150
695	risk	150
696	subsidiary	150
697	find	150
698	family	150
699	account	149
700	7	149
701	Air	149
702	place	149
703	bills	149
704	probably	149
705	noted	148
706	60	148
707	advertising	148
708	effort	148
709	approved	148
710	holders	147
711	special	147
712	itself	147
713	equity	146
714	head	146
715	cases	146
716	dividend	146
717	These	146
718	effect	146
719	White	145
720	face	145
721	David	145
722	D.	145
723	available	145
724	figures	145
725	Pacific	145
726	data	144
727	drug	144
728	international	144
729	City	143
730	After	143
731	reached	143
732	legal	143
733	Commission	142
734	Sales	142
735	technology	142
736	personal	142
737	statement	142
738	led	141
739	reduce	141
740	cars	141
741	included	141
742	However	141
743	Chairman	141
744	open	140
745	loan	140
746	using	140
747	Although	140
748	budget	140
749	bought	139
750	Under	139
751	efforts	139
752	department	139
753	asked	138
754	known	138
755	look	138
756	clear	137
757	health	137
758	University	137
759	left	137
760	rather	137
761	1986	137
762	ad	137
763	payments	137
764	By	136
765	An	136
766	team	136
767	working	136
768	Revenue	136
769	defense	136
770	increases	135
771	remain	135
772	coming	135
773	acquired	135
774	biggest	135
775	approval	135
776	reports	135
777	domestic	134
778	soon	134
779	judge	134
780	portfolio	134
781	banking	134
782	saying	134
783	job	134
784	Many	134
785	gained	133
786	18	133
787	16	133
788	calls	133
789	talks	133
790	raised	133
791	similar	133
792	either	133
793	states	133
794	long-term	132
795	clients	132
796	hard	131
797	Angeles	131
798	5\/8	131
799	parent	131
800	profits	131
801	posted	130
802	Canadian	130
803	Germany	130
804	committee	130
805	groups	130
806	looking	130
807	levels	130
808	makers	129
809	lawyers	129
810	Britain	129
811	union	129
812	short	128
813	finance	128
814	failed	128
815	airline	128
816	countries	128
817	went	128
818	damage	128
819	Most	128
820	#	127
821	along	127
822	me	127
823	lead	127
824	Hong	127
825	interests	127
826	network	127
827	helped	127
828	Columbia	127
829	Michael	127
830	different	126
831	Court	126
832	directors	126
833	completed	126
834	'm	125
835	despite	125
836	growing	125
837	wants	125
838	something	125
839	strategy	125
840	William	125
841	German	125
842	industrial	125
843	Canada	125
844	although	125
845	investments	125
846	question	124
847	given	124
848	doing	124
849	World	124
850	options	124
851	goods	123
852	14	123
853	process	123
854	slightly	123
855	Financial	122
856	estimates	122
857	involved	122
858	hit	122
859	performance	122
860	manufacturing	122
861	marks	122
862	systems	122
863	food	122
864	particularly	122
865	percentage	122
866	Even	122
867	build	121
868	Series	121
869	remains	121
870	toward	121
871	S&P	121
872	State	121
873	Drexel	121
874	having	120
875	huge	120
876	role	120
877	leaders	120
878	seeking	120
879	television	120
880	really	120
881	17	120
882	Kong	120
883	Committee	120
884	themselves	119
885	name	119
886	GM	119
887	individual	119
888	scheduled	119
889	200	119
890	legislation	119
891	plants	119
892	especially	118
893	project	118
894	previously	118
895	North	117
896	begin	117
897	property	117
898	3\/8	116
899	concerns	116
900	Merrill	116
901	year-earlier	116
902	pressure	116
903	range	116
904	7\/8	116
905	basis	116
906	acquire	116
907	disclosed	116
908	military	115
909	Richard	115
910	reason	115
911	start	115
912	leading	115
913	owns	115
914	always	115
915	hold	115
916	French	115
917	buyers	115
918	vote	115
919	Calif.	114
920	currency	114
921	measure	114
922	started	114
923	accounts	114
924	course	114
925	includes	114
926	Wednesday	114
927	joint	113
928	stores	113
929	hours	113
930	ever	113
931	attorney	113
932	activity	113
933	Thursday	113
934	fourth	113
935	producers	113
936	key	113
937	issued	113
938	rules	112
939	seen	112
940	competition	112
941	Dec.	112
942	adds	112
943	largely	112
944	Bay	112
945	venture	112
946	Rep.	111
947	view	111
948	Industries	111
949	April	111
950	brokerage	111
951	recession	111
952	institutions	111
953	Judge	111
954	related	111
955	steel	111
956	1\/8	111
957	heavy	110
958	'll	110
959	J.	110
960	abortion	110
961	Lynch	110
962	allow	110
963	areas	110
964	All	110
965	significant	110
966	thing	110
967	try	109
968	outside	109
969	taking	109
970	seems	109
971	great	109
972	Among	109
973	reduced	109
974	done	109
975	independent	108
976	study	108
977	settlement	108
978	`	108
979	required	108
980	estimate	108
981	needed	108
982	campaign	108
983	meet	107
984	magazine	107
985	Business	107
986	black	107
987	bad	107
988	seven	107
989	generally	107
990	December	107
991	She	107
992	turn	107
993	quickly	107
994	staff	106
995	turned	106
996	near	106
997	mortgage	106
998	Shearson	106
999	benefits	106
1000	means	106
1001	form	106
1002	reserves	106
1003	retail	106
1004	receive	106
1005	projects	105
1006	showed	105
1007	simply	105
1008	Eastern	105
1009	seek	105
1010	kind	105
1011	subject	105
1012	convertible	105
1013	man	105
1014	dealers	105
1015	Still	105
1016	Airlines	105
1017	impact	105
1018	PLC	105
1019	arbitrage	105
1020	produce	104
1021	ahead	104
1022	thought	104
1023	instead	104
1024	beginning	104
1025	free	104
1026	Meanwhile	104
1027	A.	104
1028	traded	104
1029	aid	104
1030	parts	104
1031	fees	103
1032	CBS	103
1033	brokers	103
1034	Investors	103
1035	France	103
1036	earned	103
1037	call	103
1038	gold	103
1039	Analysts	103
1040	situation	103
1041	series	103
1042	house	102
1043	seem	102
1044	difficult	102
1045	150	102
1046	limited	102
1047	considered	102
1048	Journal	101
1049	Trust	101
1050	taxes	101
1051	trust	101
1052	eight	101
1053	labor	101
1054	shareholder	101
1055	Institute	100
1056	lines	100
1057	merger	100
1058	floor	100
1059	Both	100
1060	returns	100
1061	boost	100
1062	Morgan	100
1063	longer	100
1064	smaller	100
1065	Moody	99
1066	summer	99
1067	pilots	99
1068	sent	99
1069	Dr.	99
1070	daily	99
1071	Since	99
1072	school	99
1073	increasing	99
1074	changed	99
1075	test	99
1076	deficit	99
1077	hurt	99
1078	planned	98
1079	Express	98
1080	anything	98
1081	partner	98
1082	owned	98
1083	history	98
1084	majority	98
1085	crash	98
1086	became	97
1087	No	97
1088	hand	97
1089	stock-index	97
1090	men	97
1091	usually	97
1092	1992	97
1093	Systems	96
1094	wanted	96
1095	base	96
1096	evidence	96
1097	Average	96
1098	attempt	96
1099	note	96
1100	His	96
1101	announcement	96
1102	active	96
1103	leader	96
1104	filing	95
1105	directly	95
1106	congressional	95
1107	worth	95
1108	volatility	95
1109	Service	95
1110	supply	95
1111	children	95
1112	Americans	95
1113	Kidder	95
1114	caused	94
1115	preferred	94
1116	pound	94
1117	yields	94
1118	veto	94
1119	1985	94
1120	May	94
1121	per	94
1122	limit	94
1123	Other	94
1124	de	93
1125	sharply	93
1126	delivery	93
1127	session	93
1128	70	93
1129	Sony	93
1130	francs	93
1131	telephone	93
1132	jumped	93
1133	conditions	93
1134	19	93
1135	sector	92
1136	designed	92
1137	built	92
1138	22	92
1139	1991	92
1140	light	92
1141	Sen.	92
1142	auction	92
1143	Digital	92
1144	spokeswoman	92
1145	George	92
1146	age	91
1147	Smith	91
1148	Insurance	91
1149	minimum	91
1150	24	91
1151	rest	91
1152	brand	91
1153	believes	91
1154	continuing	91
1155	transactions	91
1156	women	91
1157	closing	91
1158	wage	90
1159	Reserve	90
1160	continues	90
1161	consider	90
1162	created	90
1163	creditors	90
1164	size	90
1165	short-term	90
1166	survey	90
1167	Justice	90
1168	separate	90
1169	machine	90
1170	center	90
1171	regulators	90
1172	natural	89
1173	main	89
1174	comes	89
1175	35	89
1176	Guber	89
1177	80	89
1178	imports	89
1179	hopes	89
1180	21	89
1181	Brothers	89
1182	questions	89
1183	Industrial	89
1184	quake	89
1185	security	89
1186	decided	89
1187	paying	89
1188	Dinkins	89
1189	member	88
1190	care	88
1191	sense	88
1192	1,000	88
1193	According	88
1194	conference	88
1195	tons	88
1196	moves	88
1197	himself	88
1198	Peter	88
1199	brought	88
1200	initial	87
1201	actually	87
1202	Gorbachev	87
1203	why	87
1204	Peters	87
1205	quarterly	87
1206	machines	87
1207	produced	87
1208	overseas	87
1209	Also	86
1210	letter	86
1211	IRS	86
1212	press	86
1213	idea	86
1214	Fund	86
1215	strike	86
1216	SEC	86
1217	75	86
1218	effective	86
1219	23	86
1220	behind	86
1221	nothing	85
1222	game	85
1223	Bond	85
1224	standard	85
1225	spent	85
1226	Democratic	85
1227	space	85
1228	side	85
1229	software	85
1230	Its	85
1231	agencies	85
1232	Jr.	85
1233	Motor	85
1234	Because	85
1235	Qintex	85
1236	'd	85
1237	capacity	85
1238	single	84
1239	actual	84
1240	post	84
1241	sure	84
1242	exports	84
1243	partly	84
1244	matter	84
1245	Hugo	84
1246	Poland	84
1247	feel	84
1248	bring	84
1249	Management	84
1250	hope	83
1251	across	83
1252	shows	83
1253	forced	83
1254	ability	83
1255	unchanged	83
1256	protection	83
1257	final	83
1258	Nissan	83
1259	package	83
1260	People	83
1261	newspaper	83
1262	night	83
1263	allowed	83
1264	expenses	83
1265	sign	83
1266	won	83
1267	Australia	83
1268	leveraged	83
1269	improve	83
1270	term	83
1271	Democrats	83
1272	require	82
1273	trades	82
1274	party	82
1275	stop	82
1276	woman	82
1277	holds	82
1278	followed	82
1279	whole	82
1280	January	82
1281	advanced	82
1282	28	82
1283	running	82
1284	rising	82
1285	45	81
1286	R.	81
1287	needs	81
1288	operation	81
1289	together	81
1290	water	81
1291	spring	81
1292	specific	81
1293	apparently	81
1294	rule	81
1295	90	81
1296	quality	81
1297	Index	81
1298	media	81
1299	quoted	81
1300	activities	81
1301	closely	80
1302	avoid	80
1303	various	80
1304	let	80
1305	ways	80
1306	Despite	80
1307	consumers	80
1308	young	80
1309	response	80
1310	Computer	80
1311	thrift	80
1312	payment	79
1313	article	79
1314	trial	79
1315	Baker	79
1316	Moreover	79
1317	offices	79
1318	greater	79
1319	instance	79
1320	Research	79
1321	Supreme	79
1322	U.K.	79
1323	spend	78
1324	slow	78
1325	signed	78
1326	Time	78
1327	play	78
1328	decade	78
1329	pension	78
1330	economist	78
1331	serious	78
1332	energy	78
1333	Services	78
1334	cause	78
1335	gave	77
1336	develop	77
1337	moved	77
1338	introduced	77
1339	direct	77
1340	provision	77
1341	emergency	77
1342	premium	77
1343	jobs	77
1344	focus	77
1345	developed	77
1346	300	77
1347	field	77
1348	district	77
1349	valued	76
1350	familiar	76
1351	offset	76
1352	policies	76
1353	leave	76
1354	battle	76
1355	opened	76
1356	debentures	76
1357	interview	76
1358	figure	76
1359	add	76
1360	sharp	75
1361	provides	75
1362	10,000	75
1363	stay	75
1364	offers	75
1365	Stanley	75
1366	step	75
1367	appear	75
1368	contributed	75
1369	managing	75
1370	feet	75
1371	win	75
1372	block	75
1373	takes	74
1374	morning	74
1375	par	74
1376	deals	74
1377	fully	74
1378	trader	74
1379	giant	74
1380	existing	74
1381	highly	74
1382	29	74
1383	negative	74
1384	Lehman	74
1385	Lawson	74
1386	ruling	74
1387	Communications	74
1388	indicated	73
1389	create	73
1390	News	73
1391	relatively	73
1392	Yesterday	73
1393	over-the-counter	73
1394	talk	73
1395	interested	73
1396	measures	73
1397	hands	72
1398	Electric	72
1399	discount	72
1400	Investment	72
1401	chance	72
1402	26	72
1403	climbed	72
1404	medical	72
1405	amounts	72
1406	Two	72
1407	target	72
1408	flat	72
1409	Data	72
1410	provisions	72
1411	Valley	72
1412	backed	71
1413	cancer	71
1414	houses	71
1415	Thomas	71
1416	2.5	71
1417	institutional	71
1418	willing	71
1419	larger	71
1420	properties	71
1421	pretax	71
1422	purchases	71
1423	alone	71
1424	resigned	71
1425	owners	71
1426	plunge	71
1427	Not	71
1428	economists	71
1429	pence	71
1430	passed	71
1431	unless	70
1432	County	70
1433	provided	70
1434	bankruptcy	70
1435	Manhattan	70
1436	jury	70
1437	benefit	70
1438	Santa	70
1439	chain	70
1440	widely	70
1441	facilities	70
1442	Administration	70
1443	worked	70
1444	-	70
1445	fear	70
1446	else	70
1447	Reagan	70
1448	Such	70
1449	maintain	70
1450	ads	70
1451	declines	70
1452	risks	69
1453	competitors	69
1454	substantial	69
1455	students	69
1456	perhaps	69
1457	Motors	69
1458	death	69
1459	Hutton	69
1460	Another	69
1461	Secretary	69
1462	practice	69
1463	USX	69
1464	lawyer	69
1465	necessary	69
1466	cuts	69
1467	publicly	69
1468	Swiss	69
1469	speculation	69
1470	Then	69
1471	elected	69
1472	forces	69
1473	adding	69
1474	approach	69
1475	person	68
1476	Mexico	68
1477	considering	68
1478	tough	68
1479	transportation	68
1480	moving	68
1481	ones	68
1482	Salomon	68
1483	tell	68
1484	totaled	68
1485	standards	68
1486	raising	68
1487	Commerce	68
1488	prevent	68
1489	store	68
1490	goes	68
1491	Johnson	68
1492	reflecting	67
1493	land	67
1494	Hurricane	67
1495	researchers	67
1496	image	67
1497	act	67
1498	margins	67
1499	secretary	67
1500	rating	67
1501	carrier	67
1502	housing	67
1503	met	67
1504	acquisitions	67
1505	Gulf	67
1506	Trade	67
1507	read	67
1508	cited	67
1509	sought	67
1510	someone	67
1511	fixed	67
1512	Lloyd	67
1513	Chemical	67
1514	environmental	67
1515	improved	67
1516	date	66
1517	Ltd	66
1518	Pentagon	66
1519	Paribas	66
1520	Market	66
1521	forecast	66
1522	hour	66
1523	remaining	66
1524	capital-gains	66
1525	giving	66
1526	Thatcher	66
1527	list	66
1528	planning	66
1529	Charles	66
1530	laws	66
1531	stand	66
1532	chemical	66
1533	air	66
1534	regulatory	66
1535	Security	66
1536	entire	66
1537	mostly	66
1538	room	66
1539	!	66
1540	1.5	65
1541	Markets	65
1542	ownership	65
1543	exchanges	65
1544	Health	65
1545	reorganization	65
1546	opening	65
1547	sports	65
1548	reach	65
1549	funding	65
1550	27	65
1551	rally	65
1552	bidding	65
1553	events	65
1554	33	65
1555	lose	65
1556	positions	65
1557	minority	65
1558	principal	65
1559	war	65
1560	attention	65
1561	appears	65
1562	Nasdaq	65
1563	Cray	65
1564	civil	65
1565	so-called	65
1566	Chinese	65
1567	restrictions	65
1568	real-estate	65
1569	Act	65
1570	story	65
1571	review	65
1572	consultant	64
1573	particular	64
1574	individuals	64
1575	community	64
1576	materials	64
1577	Associates	64
1578	white	64
1579	Medical	64
1580	book	64
1581	anyone	64
1582	claim	64
1583	immediately	64
1584	opposition	64
1585	More	64
1586	parties	64
1587	factors	64
1588	modest	64
1589	Life	64
1590	Entertainment	64
1591	During	64
1592	negotiations	64
1593	human	63
1594	works	63
1595	access	63
1596	Indeed	63
1597	dividends	63
1598	safety	63
1599	customer	63
1600	44	63
1601	30-year	63
1602	subordinated	63
1603	Soviets	63
1604	electronic	63
1605	rejected	63
1606	industries	63
1607	accept	63
1608	involving	63
1609	attributed	63
1610	expectations	63
1611	mean	63
1612	heavily	63
1613	trend	63
1614	saw	63
1615	carry	62
1616	November	62
1617	Yet	62
1618	Republican	62
1619	believed	62
1620	flow	62
1621	bids	62
1622	monthly	62
1623	overall	62
1624	spread	62
1625	opportunity	62
1626	conservative	62
1627	movie	62
1628	savings	62
1629	items	62
1630	L.	62
1631	traditional	62
1632	reduction	62
1633	England	62
1634	experience	62
1635	Mitsubishi	62
1636	Net	61
1637	complete	61
1638	Home	61
1639	St.	61
1640	Georgia-Pacific	61
1641	cover	61
1642	drugs	61
1643	couple	61
1644	organization	61
1645	Savings	61
1646	miles	61
1647	difference	61
1648	minutes	61
1649	maturity	61
1650	wrote	61
1651	homes	61
1652	Those	61
1653	Ohio	61
1654	producer	61
1655	chips	61
1656	alleged	60
1657	partnership	60
1658	lack	60
1659	requirements	60
1660	profitable	60
1661	export	60
1662	owner	60
1663	mutual	60
1664	US$	60
1665	C$	60
1666	corn	60
1667	farmers	60
1668	gives	60
1669	expensive	60
1670	grow	60
1671	mortgages	60
1672	LIN	60
1673	strength	60
1674	Credit	60
1675	Navigation	60
1676	option	60
1677	world-wide	60
1678	disaster	60
1679	E.	60
1680	Paul	60
1681	output	60
1682	weak	60
1683	typically	60
1684	engineering	60
1685	1994	60
1686	split	60
1687	pending	60
1688	manufacturers	60
1689	400	60
1690	success	60
1691	design	60
1692	internal	60
1693	Campeau	60
1694	aimed	59
1695	facility	59
1696	players	59
1697	holdings	59
1698	Instead	59
1699	fight	59
1700	aircraft	59
1701	eventually	59
1702	regional	59
1703	asset	59
1704	listed	59
1705	released	59
1706	police	59
1707	sometimes	59
1708	accounting	59
1709	runs	59
1710	sort	59
1711	treatment	59
1712	fraud	59
1713	season	59
1714	launched	58
1715	No.	58
1716	debate	58
1717	headed	58
1718	panel	58
1719	Manville	58
1720	Brown	58
1721	headquarters	58
1722	Office	58
1723	purchased	58
1724	magazines	58
1725	details	58
1726	Moscow	58
1727	trouble	58
1728	beyond	58
1729	showing	58
1730	slowdown	58
1731	waiting	58
1732	reflects	58
1733	prepared	58
1734	appeal	58
1735	1984	58
1736	Philip	58
1737	Mixte	58
1738	Separately	58
1739	PaineWebber	58
1740	investigation	58
1741	ending	58
1742	heart	58
1743	central	58
1744	powerful	57
1745	AG	57
1746	expand	57
1747	trucks	57
1748	values	57
1749	steps	57
1750	damaged	57
1751	expansion	57
1752	highest	57
1753	increasingly	57
1754	lending	57
1755	Goldman	57
1756	Chapter	57
1757	retirement	57
1758	experts	57
1759	partners	57
1760	crime	57
1761	controls	57
1762	sources	57
1763	region	57
1764	plunged	57
1765	poor	57
1766	Development	57
1767	version	57
1768	Arizona	57
1769	tried	57
1770	charged	57
1771	material	57
1772	scientists	57
1773	successful	57
1774	gets	56
1775	Sears	56
1776	schools	56
1777	combined	56
1778	primarily	56
1779	victims	56
1780	broad	56
1781	represents	56
1782	settled	56
1783	mind	56
1784	Korea	56
1785	65	56
1786	M.	56
1787	Southern	56
1788	live	56
1789	dispute	56
1790	travel	56
1791	client	56
1792	SCI	56
1793	annually	56
1794	Holdings	56
1795	original	56
1796	putting	56
1797	favor	56
1798	popular	56
1799	gene	56
1800	troubled	56
1801	everyone	56
1802	Each	56
1803	drive	56
1804	complex	56
1805	mail	55
1806	thousands	55
1807	Bell	55
1808	request	55
1809	Power	55
1810	guilty	55
1811	commission	55
1812	bankers	55
1813	portion	55
1814	slowing	55
1815	employee	55
1816	Mass.	55
1817	break	55
1818	amid	55
1819	roughly	55
1820	words	55
1821	stations	55
1822	ratings	55
1823	concerned	55
1824	technical	55
1825	corporations	55
1826	Of	55
1827	tests	55
1828	AT&T	55
1829	film	55
1830	source	55
1831	Exxon	55
1832	grew	55
1833	250	54
1834	residents	54
1835	adviser	54
1836	Steel	54
1837	documents	54
1838	ease	54
1839	phone	54
1840	Sun	54
1841	About	54
1842	actions	54
1843	afternoon	54
1844	Only	54
1845	controlled	54
1846	Times	54
1847	normal	54
1848	Sir	54
1849	Here	54
1850	everything	54
1851	guidelines	54
1852	certainly	54
1853	proposals	54
1854	improvement	54
1855	monetary	54
